Date and Time,Travel Time,Travel Minutes,State
2024-11-06 00:00:00,1 hour 27 mins,87,Low
2024-11-06 00:10:00,1 hour 28 mins,88,Low
2024-11-06 00:20:00,1 hour 28 mins,88,Low
2024-11-06 00:30:00,1 hour 28 mins,88,Low
2024-11-06 00:40:00,1 hour 28 mins,88,Low
2024-11-06 00:50:00,1 hour 28 mins,88,Low
2024-11-06 01:00:00,1 hour 28 mins,88,Low
2024-11-06 01:10:00,1 hour 28 mins,88,Low
2024-11-06 01:20:00,1 hour 27 mins,87,Low
2024-11-06 01:30:00,1 hour 28 mins,88,Low
2024-11-06 01:40:00,1 hour 28 mins,88,Low
2024-11-06 01:50:00,1 hour 27 mins,87,Low
2024-11-06 02:00:00,1 hour 29 mins,89,Low
2024-11-06 02:10:00,1 hour 28 mins,88,Low
2024-11-06 02:20:00,1 hour 29 mins,89,Low
2024-11-06 02:30:00,1 hour 27 mins,87,Low
2024-11-06 02:40:00,1 hour 27 mins,87,Low
2024-11-06 02:50:00,1 hour 28 mins,88,Low
2024-11-06 03:00:00,1 hour 29 mins,89,Low
2024-11-06 03:10:00,1 hour 29 mins,89,Low
2024-11-06 03:20:00,1 hour 29 mins,89,Low
2024-11-06 03:30:00,1 hour 28 mins,88,Low
2024-11-06 03:40:00,1 hour 28 mins,88,Low
2024-11-06 03:50:00,1 hour 26 mins,86,Low
2024-11-06 04:00:00,1 hour 26 mins,86,Low
2024-11-06 04:10:00,1 hour 24 mins,84,Low
2024-11-06 04:20:00,1 hour 24 mins,84,Low
2024-11-06 04:30:00,1 hour 25 mins,85,Low
2024-11-06 04:40:00,1 hour 25 mins,85,Low
2024-11-06 04:50:00,1 hour 25 mins,85,Low
2024-11-06 05:00:00,1 hour 26 mins,86,Low
2024-11-06 05:10:00,1 hour 25 mins,85,Low
2024-11-06 05:20:00,1 hour 25 mins,85,Low
2024-11-06 05:30:00,1 hour 26 mins,86,Low
2024-11-06 05:40:00,1 hour 26 mins,86,Low
2024-11-06 05:50:00,1 hour 28 mins,88,Low
2024-11-06 06:00:00,1 hour 32 mins,92,Low
2024-11-06 06:10:00,1 hour 38 mins,98,Medium
2024-11-06 06:20:00,1 hour 42 mins,102,High
2024-11-06 06:30:00,1 hour 47 mins,107,High
2024-11-06 06:40:00,1 hour 49 mins,109,High
2024-11-06 06:50:00,1 hour 51 mins,111,High
2024-11-06 07:00:00,1 hour 51 mins,111,High
2024-11-06 07:10:00,1 hour 49 mins,109,High
2024-11-06 07:20:00,1 hour 48 mins,108,High
2024-11-06 07:30:00,1 hour 45 mins,105,High
2024-11-06 07:40:00,1 hour 42 mins,102,High
2024-11-06 07:50:00,1 hour 41 mins,101,Medium
2024-11-06 08:00:00,1 hour 39 mins,99,Medium
2024-11-06 08:10:00,1 hour 37 mins,97,Medium
2024-11-06 08:20:00,1 hour 36 mins,96,Medium
2024-11-06 08:30:00,1 hour 34 mins,94,Medium
2024-11-06 08:40:00,1 hour 34 mins,94,Medium
2024-11-06 08:50:00,1 hour 33 mins,93,Medium
2024-11-06 09:00:00,1 hour 33 mins,93,Medium
2024-11-06 09:10:00,1 hour 32 mins,92,Low
2024-11-06 09:20:00,1 hour 32 mins,92,Low
2024-11-06 09:30:00,1 hour 32 mins,92,Low
2024-11-06 09:40:00,1 hour 32 mins,92,Low
2024-11-06 09:50:00,1 hour 32 mins,92,Low
2024-11-06 10:00:00,1 hour 32 mins,92,Low
2024-11-06 10:10:00,1 hour 33 mins,93,Medium
2024-11-06 10:20:00,1 hour 33 mins,93,Medium
2024-11-06 10:30:00,1 hour 33 mins,93,Medium
2024-11-06 10:40:00,1 hour 33 mins,93,Medium
2024-11-06 10:50:00,1 hour 34 mins,94,Medium
2024-11-06 11:00:00,1 hour 34 mins,94,Medium
2024-11-06 11:10:00,1 hour 34 mins,94,Medium
2024-11-06 11:20:00,1 hour 34 mins,94,Medium
2024-11-06 11:30:00,1 hour 34 mins,94,Medium
2024-11-06 11:40:00,1 hour 34 mins,94,Medium
2024-11-06 11:50:00,1 hour 34 mins,94,Medium
2024-11-06 12:00:00,1 hour 35 mins,95,Medium
2024-11-06 12:10:00,1 hour 34 mins,94,Medium
2024-11-06 12:20:00,1 hour 34 mins,94,Medium
2024-11-06 12:30:00,1 hour 34 mins,94,Medium
2024-11-06 12:40:00,1 hour 33 mins,93,Medium
2024-11-06 12:50:00,1 hour 34 mins,94,Medium
2024-11-06 13:00:00,1 hour 34 mins,94,Medium
2024-11-06 13:10:00,1 hour 33 mins,93,Medium
2024-11-06 13:20:00,1 hour 33 mins,93,Medium
2024-11-06 13:30:00,1 hour 34 mins,94,Medium
